rank,citations,citing author name,affiliation,latitude,longitude,country,citing paper title,cited paper title,county,city,state
152,2632,Punarjay Chakravarty,Planet,46.310315,5.6545477,France,Sim2real for self-supervised monocular depth and segmentation,Deflating dataset bias using synthetic data augmentation,Ain,,Auvergne-Rhône-Alpes
153,2599,Hongkai Yu,Cleveland State University,41.50258335,-81.67508708526213,United States,Deep transfer learning for intelligent vehicle perception: A survey,SIMBAR: Single Image-Based Scene Relighting For Effective Data Augmentation For Automated Driving Vision Tasks,Cuyahoga County,Cleveland,Ohio
154,2579,"Andreas Z{\""u}fle",Emory University,33.80045465,-84.31723780466274,United States,Transfer Learning via Latent Dependency Factor for Estimating PM 2.5,Deflating dataset bias using synthetic data augmentation,DeKalb County,Georgia
155,2579,"Andreas Z{\""u}fle",Emory University,33.80045465,-84.31723780466274,United States,Spatial Transfer Learning for Estimating PM 2.5 in Data-Poor Regions,Deflating dataset bias using synthetic data augmentation,DeKalb County,Georgia
156,2508,Jongmoo Choi,Canoo,51.2399111,6.768622,Germany,"Active data collection,sampling,and generation for use in training machine learning models for automotive or other applications",Neural network image processing,,Dusseldorf,North Rhine-Westphalia
157,2503,Kyungmin Lee,Hanyang University,37.5557274,127.0436837,South Korea,Discovering and Mitigating Visual Biases through Keyword Explanation,deepPIC: Deep perceptual image clustering for identifying bias in vision datasets,,Seoul,
158,2403,Rishikesan Kamaleswaran,Duke University,36.00015569999999,-78.94422972195878,United States,Synthetic seismocardiogram generation using a transformer-based neural network,Deflating dataset bias using synthetic data augmentation,Durham County,Durham,North Carolina
159,2391,Ze Yang,University of Toronto,43.663461999999996,-79.39775966248058,Canada,Neural lighting simulation for urban scenes,SIMBAR: Single Image-Based Scene Relighting For Effective Data Augmentation For Automated Driving Vision Tasks,,Old Toronto,Ontario
160,2348,Peter Yigitcan Washington,Mānoa,21.3093848,-157.8118169,United States,Machine Learning and Crowdsourcing for Digital Behavioral Phenotyping,Deflating dataset bias using synthetic data augmentation,Honolulu County,East Honolulu,Hawaii
161,2259,Yun Chen,Waabi,45.0838098,-93.0069304,United States,Neural lighting simulation for urban scenes,SIMBAR: Single Image-Based Scene Relighting For Effective Data Augmentation For Automated Driving Vision Tasks,Ramsey County,,Minnesota
162,2255,Danding Wang,Chinese Academy of Sciences Beijing,39.90933665,116.32971461228999,China,Bias oriented unbiased data augmentation for cross-bias representation learning,SIMBAR: Single Image-Based Scene Relighting For Effective Data Augmentation For Automated Driving Vision Tasks,,Beijing,Beijing
163,2255,Danding Wang,Chinese Academy of Sciences Beijing,39.90933665,116.32971461228999,China,Bias oriented unbiased data augmentation for cross-bias representation learning,Deflating dataset bias using synthetic data augmentation,,Beijing,Beijing
164,2253,Vedhus Hoskere,University of Houston,29.7207902,-95.34406271491369,United States,Synthetic environments for vision-based structural condition assessment of Japanese high-speed railway viaducts,Deflating dataset bias using synthetic data augmentation,Harris County,Houston,Texas
165,2253,Vedhus Hoskere,Urbana-Champaign,40.1117174,-88.207301,United States,Synthetic environments for vision-based structural condition assessment of Japanese high-speed railway viaducts,Deflating dataset bias using synthetic data augmentation,Champaign County,Urbana,Illinois
166,2242,Jessica Lundin,Public Health -- Seattle & King County,47.6145908,-122.34217759004977,United States,Automatic Image Conversion,Neural network image processing,King County,Seattle,Washington
167,2225,Qi Peng,University of Georgia,33.9404278,-83.37304904988295,United States,"Active data collection,sampling,and generation for use in training machine learning models for automotive or other applications",Neural network image processing,Athens-Clarke County,Athens-Clarke County Unified Government,Georgia
168,2212,Yasutaka Narazaki,Zhejiang University,30.521595,120.7195312,China,Synthetic environments for vision-based structural condition assessment of Japanese high-speed railway viaducts,Deflating dataset bias using synthetic data augmentation,,Haining,Zhejiang
169,2212,Yasutaka Narazaki,Zhejiang University,30.521595,120.7195312,China,Autonomous vision-based inspection of RC railway bridges for rapid post-earthquake response and recovery,Deflating dataset bias using synthetic data augmentation,,Haining,Zhejiang
